date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:47:22	9429/9429	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/011/25.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/011/25.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:53:03	7755/7755	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/012/1.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/012/1.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:53:36	7725/7725	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/012/3.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/012/3.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:54:08	7722/7722	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/012/4.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/012/4.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:55:24	6265/6265	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/012/7.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/012/7.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:56:29	7708/7708	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/013/3.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/013/3.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:56:45	7660/7660	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/013/4.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/013/4.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:57:44	7525/7525	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/0141/1.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/0141/1.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:59:08	4235/4235	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/0142/3.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/0142/3.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
10:59:29	7513/7513	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/0143/1.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/0143/1.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
11:00:27	7571/7571	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/015/1.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/015/1.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
11:01:33	7645/7645	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/015/4.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/015/4.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
11:03:26	7610/7610	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Mar%202014%2000:41:40%20GMT	http://www.admision.unmsm.edu.pe/admisionsabado/A/041/3.html	D:/My%20Web%20Sites/Resultados%20UNMSM%202014-2%20Sabado/www.admision.unmsm.edu.pe/admisionsabado/A/041/3.html	(from http://www.admision.unmsm.edu.pe/admisionsabado/A.html)
